127.0.0.1 - - [26/Sep/2021:16:01:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:01:55 +0530] "GET /EmployeeManagement/ HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:22 +0530] "GET /EmployeeManagement/EmployeeControllerServelet HTTP/1.1" 200 9727
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:23 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 200 73625
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:23 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 200 203030
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:23 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34034
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:42 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:42 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:42 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 200 8600
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:42 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 200 81335
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:42 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:42 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 200 134346
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:45 +0530] "GET /EmployeeManagement/login.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [26/Sep/2021:16:02:52 +0530] "POST /EmployeeManagement/adminControllerServlet HTTP/1.1" 200 8535
