0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:30 +0530] "GET /EmployeeManagement/emphome.jsp HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:32 +0530] "GET /EmployeeManagement/grid/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:32 +0530] "GET /EmployeeManagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:32 +0530] "GET /EmployeeManagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:32 +0530] "GET /EmployeeManagement/img/img2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:32 +0530] "GET /EmployeeManagement/img/icons8-web-design-64.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:32 +0530] "GET /EmployeeManagement/webfonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:32 +0530] "GET /EmployeeManagement/webfonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2021:14:20:32 +0530] "GET /EmployeeManagement/webfonts/fa-solid-900.eot? HTTP/1.1" 304 -
